timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
75838610,0.0,0.0,0.0,0.00420924,-0.000855066,-0.273438,0.0,0.0,0.0,0.0149597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257334,0.257334,4.06121,0.0,0.0,0.0,0.0901619,0.0,0.0,0.0,0.0,0.0,0.000222652,0.00267473,0.00770382,0.0,0.0,0.0,0.0,0.0,0.0
76040214,0.0,0.0,0.0,0.00412048,-0.000943094,-0.219696,0.0,0.0,0.0,-0.00124142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257292,0.257292,4.06104,0.0,0.0,0.0,0.0901618,0.0,0.0,0.0,0.0,0.0,0.000400715,0.0025987,0.00782806,0.0,0.0,0.0,0.0,0.0,0.0
76244997,0.0,0.0,0.0,0.00402441,-0.000914216,0.215637,0.0,0.0,0.0,0.0297402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257486,0.257486,4.06193,0.0,0.0,0.0,0.0901619,0.0,0.0,0.0,0.0,0.0,0.000341595,0.000667462,0.00197145,0.0,0.0,0.0,0.0,0.0,0.0
76444903,0.0,0.0,0.0,0.00368971,-0.000688315,-0.425659,0.0,0.0,0.0,0.0114235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25749,0.257489,4.06204,0.0,0.0,0.0,0.0901617,0.0,0.0,0.0,0.0,0.0,0.000245642,0.00224494,0.00666052,0.0,0.0,0.0,0.0,0.0,0.0
76644935,0.0,0.0,0.0,0.00324632,-0.000521045,0.175568,0.0,0.0,0.0,0.00626396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257542,0.257542,4.0624,0.0,0.0,0.0,0.0901615,0.0,0.0,0.0,0.0,0.0,0.000320052,0.00295446,0.00830518,0.0,0.0,0.0,0.0,0.0,0.0
76844955,0.0,0.0,0.0,0.0028205,-0.000644068,0.371887,0.0,0.0,0.0,0.0191436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257569,0.257569,4.06264,0.0,0.0,0.0,0.0901614,0.0,0.0,0.0,0.0,0.0,0.000575207,0.007591,0.0224934,0.0,0.0,0.0,0.0,0.0,0.0
77048891,0.0,0.0,0.0,0.00235998,-0.000965273,0.579315,0.0,0.0,0.0,-0.000725821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257595,0.257595,4.06291,0.0,0.0,0.0,0.0901613,0.0,0.0,0.0,0.0,0.0,0.00157432,0.00701207,0.0216765,0.0,0.0,0.0,0.0,0.0,0.0
77252882,0.0,0.0,0.0,0.00191455,-0.00136306,-0.0291443,0.0,0.0,0.0,0.0104023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257614,0.257614,4.06314,0.0,0.0,0.0,0.0901612,0.0,0.0,0.0,0.0,0.0,0.000985914,0.00299193,0.0103019,0.0,0.0,0.0,0.0,0.0,0.0
77454571,0.0,0.0,0.0,0.0015437,-0.00164373,0.645905,0.0,0.0,0.0,0.0194446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257555,0.257555,4.063,0.0,0.0,0.0,0.0901611,0.0,0.0,0.0,0.0,0.0,0.000497792,0.00679064,0.020901,0.0,0.0,0.0,0.0,0.0,0.0
77658591,0.0,0.0,0.0,0.00126068,-0.00193748,0.124542,0.0,0.0,0.0,0.00118408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257523,0.257523,4.06294,0.0,0.0,0.0,0.0901607,0.0,0.0,0.0,0.0,0.0,0.000162225,0.00231544,0.00776024,0.0,0.0,0.0,0.0,0.0,0.0
