timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
159256512,0.349777,0.432522,0.0773687
159266884,0.349777,0.432522,0.0773687
159276533,0.349777,0.432522,0.0773687
159286853,0.349777,0.432522,0.0773687
159295690,0.347604,0.410561,0.0621021
159306076,0.355282,0.427514,0.0722498
159315690,0.34952,0.429574,0.0644393
159326076,0.334451,0.436771,0.0586251
159335731,0.347754,0.43805,0.0696248
159346076,0.332862,0.427514,0.0726966
159355690,0.344072,0.427514,0.0724732
159366076,0.351297,0.434972,0.059818
159375691,0.35136,0.434842,0.0630151
159386116,0.345849,0.432912,0.0678519
159395690,0.349256,0.419688,0.0512277
159406088,0.342116,0.436381,0.0680674
159415689,0.349456,0.429704,0.0612422
159426119,0.34369,0.428294,0.0532906
159435684,0.32894,0.434842,0.0634619
159446060,0.351282,0.417628,0.0591127
159455683,0.348128,0.426864,0.0883842
159466067,0.353204,0.443578,0.061732
159475685,0.351549,0.430983,0.0724653
159486085,0.355216,0.424175,0.0689116
159495676,0.347363,0.428425,0.0500191
159506081,0.340394,0.420447,0.0754626
159515676,0.344072,0.427514,0.0724732
159526054,0.331097,0.435991,0.0778821
159535676,0.355418,0.43766,0.0790671
159546091,0.347684,0.431243,0.0661456
159555677,0.343449,0.437096,-0.333988
159556485,0.351604,0.420447,0.0752392
159566117,0.349583,0.429443,0.0676364
159575678,0.352039,0.414724,0.472251
159576485,0.343884,0.431373,0.063023
159586081,0.334767,0.432652,0.0744695
159595677,0.347939,0.430723,0.0789339
159606101,0.344264,0.427124,0.0820644
159615687,0.342168,0.422376,0.0707003
159626115,0.334501,0.419298,0.0611169
159635676,0.349398,0.436771,0.0583272
159646077,0.349398,0.436771,0.0583272
159656485,0.349398,0.436771,0.0583272
159666084,0.349398,0.436771,0.0583272
159676485,0.349398,0.436771,0.0583272
159686076,0.349398,0.436771,0.0583272
159695653,0.349398,0.436771,0.0583272
159705297,0.332799,0.427644,0.0694995
159714878,0.345791,0.439979,0.0649369
159725296,0.343951,0.434711,0.0663611
159734877,0.353267,0.443448,0.0649291
159745295,0.338434,0.425845,0.0709158
159754877,0.340017,0.428164,0.0565622
159765283,0.338307,0.426105,0.0645216
159774897,0.362617,0.4139,0.0651424
159785284,0.326911,0.433432,0.0554358
159794914,0.345841,0.422506,0.0674287
159805283,0.353184,0.419298,0.0607445
159814882,0.33844,0.432782,0.0711979
159825283,0.355169,0.445117,0.0665609
159834902,0.36079,0.425975,0.0672719
159845284,0.338501,0.429183,0.0742539
159854903,0.330961,0.425845,0.0710647
159865284,0.347745,0.427644,0.0692016
159874877,0.353508,0.425585,0.0770121
159885293,0.355158,0.431243,0.0659967
159894877,0.347818,0.43792,0.0728219
159905283,0.356863,0.426365,0.0577551
159914883,0.342096,0.4121,0.06708
159925284,0.340217,0.43818,0.0665766
159934878,0.351418,0.427774,0.0659301
159945284,0.34387,0.41403,0.0623176
159954890,0.349835,0.425455,0.0802837
159965284,0.336405,0.424436,0.0628898
159974888,0.349772,0.425585,0.0770866
159985318,0.346101,0.428923,0.0804992
159994853,0.347801,0.417108,0.0719755
160005283,0.332547,0.431633,0.0568522
160014853,0.338501,0.429183,0.0742539
160025283,0.366487,0.420577,0.0717443
160034853,0.329001,0.431243,0.0665179
160045284,0.340344,0.43792,0.0729708
160054853,0.327227,0.429313,0.0712802
160065283,0.353192,0.429704,0.0611677
160075681,0.353192,0.429704,0.0611677
160085284,0.353192,0.429704,0.0611677
160095677,0.353192,0.429704,0.0611677
160105277,0.353192,0.429704,0.0611677
160115677,0.353192,0.429704,0.0611677
160125322,0.353192,0.429704,0.0611677
160134053,0.353511,0.429053,0.0771532
160145291,0.346171,0.43573,0.0839784
160154053,0.349702,0.418777,0.0736074
160165303,0.336538,0.431113,0.0695661
160174053,0.328932,0.424436,0.0630387
160185279,0.344142,0.434321,0.0759524
160194053,0.345971,0.425715,0.0739639
160205280,0.34407,0.424045,0.0723321
160214053,0.343948,0.431243,0.06622
160225279,0.325453,0.427384,0.0760426
160234053,0.347809,0.427514,0.0723987
160245299,0.342176,0.432782,0.0711234
160254053,0.338564,0.429053,0.077451
160264484,0.347687,0.434711,0.0662866
160274076,0.349456,0.429704,0.0612422
160284484,0.327094,0.422636,0.0646039
160294077,0.338431,0.422376,0.0707747
160304484,0.344017,0.43805,0.0696993
160314076,0.349583,0.429443,0.0676364
160324484,0.349644,0.425845,0.0706924
160334076,0.354964,0.428164,0.0562643
160344483,0.34033,0.420577,0.0722655
160354076,0.336721,0.420317,0.0787342
160364484,0.343937,0.417368,0.0656558
160374076,0.357045,0.415569,0.0669232
160384484,0.361042,0.421986,0.0799192
160394108,0.34407,0.424045,0.0723321
160404453,0.344011,0.431113,0.0694171
160414124,0.349511,0.419168,0.0640161
160424452,0.370165,0.427644,0.0687548
160434118,0.353375,0.418907,0.0703358
160444461,0.34389,0.43831,0.0633051
160454087,0.34558,0.416089,0.0543582
160464464,0.336402,0.420967,0.0627487
160474884,0.340164,0.452185,0.0639438
160484456,0.341913,0.422896,0.0579119
160494117,0.341913,0.422896,0.0579119
160504453,0.341913,0.422896,0.0579119
160514084,0.341913,0.422896,0.0579119
160524453,0.341913,0.422896,0.0579119
160534084,0.341913,0.422896,0.0579119
160544482,0.360976,0.418647,0.0765811
160553279,0.334675,0.398096,0.0698617
160564482,0.34807,0.433931,0.0854692
160573277,0.351479,0.424175,0.0689861
160584482,0.336416,0.43831,0.063454
160593278,0.34591,0.429313,0.0709079
160604482,0.347485,0.421227,0.0561311
160613283,0.357187,0.432652,0.0740227
160624483,0.353134,0.436771,0.0582528
160633283,0.359213,0.430592,0.0819077
160644483,0.330969,0.436251,0.0714879
160653283,0.347884,0.441259,0.07616
160664482,0.344191,0.416848,0.0784442
160673283,0.349525,0.436511,0.0647214
160684476,0.355028,0.428034,0.0594614
160693277,0.347687,0.434711,0.0662866
160704483,0.343942,0.424306,0.0659379
160713309,0.34965,0.432782,0.0709745
160724484,0.332804,0.434581,0.0697816
160733278,0.344333,0.433931,0.0855437
160744484,0.348,0.427124,0.08199
160753278,0.34002,0.431633,0.0567032
160764484,0.325195,0.424436,0.0631131
160773253,0.325056,0.410821,0.0561547
160783712,0.344208,0.43766,0.0792905
160793253,0.357192,0.439589,0.0743048
160803704,0.353389,0.436251,0.0710411
160813277,0.338506,0.436121,0.0745361
160824488,0.340275,0.431113,0.0694916
160833285,0.340333,0.424045,0.0724066
160844481,0.342307,0.435991,0.0776587
160853277,0.343934,0.4139,0.0655147
160863676,0.347997,0.423655,0.0818489
160873277,0.343945,0.427774,0.066079
