timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
536731220,0.290668,0.0160084,0.0594831
536931993,0.248349,0.0150021,0.0719923
537134921,0.265188,0.0168737,0.0766655
537339940,0.258348,0.0153284,0.0690307
537542980,0.250354,0.0149597,0.0768573
537742899,0.260478,0.0130958,0.0788135
537947531,0.273867,0.0157319,0.0741339
538151075,0.284504,0.0149489,0.0697606
538353376,0.283895,0.01589,0.0724177
538557673,0.267468,0.0151404,0.0647496
538759223,0.285727,0.0161634,0.0723804
538961341,0.269706,0.0173579,0.0706146
539164682,0.248609,0.0168213,0.0677109
539369323,0.293718,0.0162826,0.0696536
539570730,0.290052,0.0157285,0.0749491
539774179,0.312431,0.0160933,0.0709809
539979276,0.256815,0.0160434,0.0754543
540180858,0.292662,0.0150825,0.0733532
540381486,0.28906,0.0157094,0.0770999
540584683,0.269185,0.0148148,0.0762084
540786176,0.290786,0.0153236,0.0777334
540987801,0.281277,0.0179478,0.0786807
541192010,0.282247,0.0167973,0.0708184
541392851,0.257673,0.0173073,0.0746994
541595840,0.259872,0.0155121,0.0769387
541796589,0.257925,0.0175978,0.0759856
541998251,0.302557,0.0181458,0.0774173
542198272,0.292044,0.0164694,0.0817446
542403997,0.292192,0.0181718,0.0831124
542606942,0.278601,0.0174697,0.0766842
542807004,0.299081,0.0157222,0.0764233
543008590,0.315815,0.0158842,0.0753726
543213054,0.258432,0.0165865,0.0752583
543413113,0.285475,0.0170193,0.0751516
543614418,0.315222,0.01504,0.0809366
543815244,0.298134,0.0159141,0.0814994
544016074,0.282626,0.0156625,0.0796633
544219912,0.303521,0.0160123,0.0766169
544419879,0.281067,0.0172264,0.0726051
544621446,0.265741,0.0157707,0.0726686
544825844,0.285784,0.0165654,0.0657042
545026134,0.285603,0.0171336,0.0644794
545225811,0.324222,0.0160945,0.0763849
545429421,0.294073,0.018168,0.0707368
545633640,0.252558,0.0178164,0.0730134
545836050,0.263556,0.0161505,0.0697059
546038959,0.269946,0.0158621,0.0682323
546243844,0.250397,0.0161007,0.0762194
546444564,0.260917,0.0161961,0.0805761
546647822,0.296513,0.0166873,0.0670739
546849429,0.282958,0.017241,0.0699198
547050271,0.252014,0.0182468,0.0785048
547252635,0.294808,0.016702,0.0714445
547457672,0.285497,0.017525,0.0752842
547661390,0.257136,0.0170614,0.0737572
547861322,0.282915,0.0159559,0.0733631
548068041,0.302716,0.0158432,0.0753889
548267254,0.282072,0.0150216,0.0817844
548471067,0.273227,0.0161102,0.0777133
548675938,0.26786,0.0154444,0.0817807
548878977,0.269172,0.0173481,0.0789174
549078983,0.268364,0.017113,0.0800292
549279027,0.251543,0.0170799,0.0737739
549483199,0.289502,0.0158685,0.0757145
549684813,0.272768,0.0164137,0.0793787
549885573,0.261254,0.0156777,0.076641
550089419,0.252084,0.0166944,0.0743373
550294193,0.278346,0.015812,0.0746853
550495860,0.261495,0.0163377,0.0736612
550696043,0.298945,0.0151771,0.0692451
550897026,0.282157,0.0165267,0.0760463
551098676,0.289281,0.0151763,0.0780441
551299064,0.264216,0.0160637,0.0711079
551502244,0.307602,0.0155639,0.0764497
551707319,0.291444,0.0160092,0.0711654
551907313,0.260948,0.0172002,0.0680837
552108142,0.258551,0.0172394,0.0708138
552311763,0.294638,0.0172459,0.0709095
552512628,0.320442,0.015593,0.0766497
552718249,0.299498,0.0156368,0.076197
552919200,0.254241,0.0172841,0.0716756
553123845,0.252572,0.0167865,0.0692001
553324601,0.259718,0.0156305,0.0729651
553530327,0.27773,0.0166047,0.0783093
553730296,0.259747,0.016923,0.079929
553930333,0.275903,0.0172974,0.0723468
554133472,0.261024,0.0175053,0.0766891
554333695,0.278145,0.016659,0.07452
554537347,0.288795,0.0162148,0.0738743
554740916,0.281062,0.0176043,0.0759777
554944694,0.254572,0.015172,0.0751998
555148322,0.280762,0.0161457,0.0781741
555348265,0.285797,0.0163049,0.0722983
555551820,0.287431,0.018624,0.0788104
555754177,0.272644,0.0177582,0.0780127
555959103,0.286688,0.0168149,0.0824012
556161537,0.288701,0.0183012,0.077879
556364612,0.26203,0.0159019,0.074241
556569336,0.31262,0.0167878,0.075917
556770709,0.287903,0.0154767,0.0781188
556971864,0.29287,0.0173652,0.072127
557172635,0.269097,0.0161961,0.0765479
557378160,0.297533,0.0189658,0.0776468
557580668,0.279913,0.0170915,0.074177
557780590,0.279046,0.0170446,0.0746179
557982640,0.287147,0.0180941,0.0743605
558182680,0.263003,0.0164083,0.0655793
558382732,0.288096,0.0159967,0.0796721
558586222,0.285314,0.0153156,0.0702675
558790529,0.282359,0.0163427,0.0664192
558991100,0.281449,0.0163542,0.0684058
559191183,0.277195,0.0161503,0.0669134
559392810,0.281445,0.0154842,0.0639687
559593337,0.27128,0.0177888,0.0735143
559800535,0.27708,0.0155102,0.0736227
559999339,0.285624,0.0169814,0.0737566
560203790,0.277903,0.0160939,0.0794812
