timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
12295308,0.000606455,0.00476058,-0.00184021,0.691378,0.712389,0.0771748,0.092429,1.0,0.0,0.0,0.0,0
12327375,-0.00233,0.005429,0.0002718,0.691378,0.712381,0.077217,0.0924523,1.0,0.0,0.0,0.0,0
12363333,0.00215635,0.00401017,0.00192167,0.691371,0.71238,0.0772361,0.0924896,1.0,0.0,0.0,0.0,0
12395274,0.00085424,0.00525759,-0.000115207,0.691368,0.712381,0.0772393,0.0925068,1.0,0.0,0.0,0.0,0
12423314,0.000990442,0.00602103,-0.000496167,0.691371,0.712374,0.0772611,0.0925237,1.0,0.0,0.0,0.0,0
12455433,0.00126967,0.00516956,-0.00131356,0.69137,0.712371,0.0772809,0.0925366,1.0,0.0,0.0,0.0,0
12487358,0.00203053,0.00553831,-0.000664171,0.691371,0.712367,0.0772893,0.0925492,1.0,0.0,0.0,0.0,0
12519420,-2.44421e-05,0.00538865,-0.00147618,0.691366,0.712371,0.0772878,0.0925556,1.0,0.0,0.0,0.0,0
12552988,-0.000935011,0.00396793,0.000833629,0.691369,0.712369,0.077294,0.0925455,1.0,0.0,0.0,0.0,0
12581742,0.0012096,0.00574717,0.00160948,0.691368,0.712372,0.0772864,0.0925427,1.0,0.0,0.0,0.0,0
12613685,-8.23191e-05,0.0057273,0.00120727,0.691371,0.712369,0.0772722,0.092552,1.0,0.0,0.0,0.0,0
12645749,0.00136842,0.00383174,-0.00103394,0.691366,0.712373,0.0772671,0.0925632,1.0,0.0,0.0,0.0,0
12677720,-0.0020277,0.00471669,-0.000291082,0.691358,0.712381,0.0772814,0.0925508,1.0,0.0,0.0,0.0,0
12709806,-0.00147523,0.00435368,0.000971006,0.691369,0.71237,0.0772781,0.092556,1.0,0.0,0.0,0.0,0
12741713,-0.000104297,0.00422715,0.00106006,0.691369,0.712374,0.0772675,0.0925324,1.0,0.0,0.0,0.0,0
12769840,-0.00252537,0.00463207,0.00241055,0.691375,0.712373,0.0772512,0.092509,1.0,0.0,0.0,0.0,0
12801823,-0.00120766,0.00257058,-4.23645e-05,0.691389,0.712367,0.0772142,0.0924863,1.0,0.0,0.0,0.0,0
12833800,-0.00174102,0.00523633,-0.000670138,0.691397,0.712366,0.0771989,0.0924368,1.0,0.0,0.0,0.0,0
12865687,0.00061253,0.00456819,-0.000217876,0.691408,0.712363,0.077174,0.0924026,1.0,0.0,0.0,0.0,0
12897879,0.000592702,0.00426965,-0.00106606,0.69142,0.712358,0.077137,0.0923819,1.0,0.0,0.0,0.0,0
12929915,0.00388843,0.00545262,-0.0016346,0.691422,0.712361,0.0771197,0.0923575,1.0,0.0,0.0,0.0,0
12961812,0.000680225,0.00450162,-0.0021432,0.691434,0.712354,0.0770983,0.0923395,1.0,0.0,0.0,0.0,0
12993719,-0.00159678,0.00412394,0.00162841,0.691442,0.712349,0.0770846,0.092333,1.0,0.0,0.0,0.0,0
13025765,-0.000527229,0.00570511,0.00156309,0.691446,0.712346,0.0770855,0.0923219,1.0,0.0,0.0,0.0,0
13057764,0.00245034,0.0049747,0.0010623,0.691435,0.712356,0.0770888,0.0923215,1.0,0.0,0.0,0.0,0
13090650,0.00189804,0.00604772,0.000346857,0.691426,0.712362,0.0770927,0.0923452,1.0,0.0,0.0,0.0,0
13122617,0.00272639,0.00578342,-0.00105766,0.691424,0.712359,0.0771044,0.092366,1.0,0.0,0.0,0.0,0
13154553,0.00213592,0.00483773,0.00180923,0.691419,0.712359,0.0771138,0.0923963,1.0,0.0,0.0,0.0,0
13186600,0.000194187,0.00442265,0.000644631,0.691421,0.712353,0.0771414,0.0924133,1.0,0.0,0.0,0.0,0
13216061,0.00311907,0.00475017,-0.00206536,0.691436,0.712331,0.0771591,0.0924505,1.0,0.0,0.0,0.0,0
13248245,-0.00161332,0.0034317,0.000529523,0.691423,0.71234,0.0771809,0.0924652,1.0,0.0,0.0,0.0,0
13280222,-0.000738954,0.00464704,0.00174906,0.691443,0.712314,0.0772151,0.0924819,1.0,0.0,0.0,0.0,0
13312222,0.00133719,0.00563548,-0.0010545,0.691432,0.712321,0.0772365,0.0924986,1.0,0.0,0.0,0.0,0
13344144,-0.000853021,0.00330417,0.000642809,0.691443,0.712305,0.0772544,0.0925237,1.0,0.0,0.0,0.0,0
13372177,0.00135203,0.00437358,0.00180248,0.691446,0.7123,0.0772525,0.0925368,1.0,0.0,0.0,0.0,0
13404071,0.00214842,0.00478278,0.0012897,0.691442,0.712306,0.0772438,0.0925276,1.0,0.0,0.0,0.0,0
13436188,-0.000593052,0.00431395,0.00100526,0.691442,0.71231,0.0772307,0.092513,1.0,0.0,0.0,0.0,0
