timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
499383381,499382947,496,3735928559,0.434,255,0
500385163,500384795,497,3735928559,0.368,255,0
501383190,501382628,498,3735928559,0.562,255,0
502381488,502380847,499,3735928559,0.641,255,0
503384099,503383741,500,3735928559,0.358,255,0
504383358,504381878,501,3735928559,1.48,255,0
505383290,505382756,502,3735928559,0.534,255,0
506383252,506382703,503,3735928559,0.549,255,0
507384127,507383554,504,3735928559,0.573,255,0
508389114,508387233,505,3735928559,1.881,255,0
509383980,509382619,506,3735928559,1.361,255,0
510383798,510383388,507,3735928559,0.41,255,0
511381376,511380858,508,3735928559,0.518,255,0
512381499,512381070,509,3735928559,0.429,255,0
513383121,513382623,510,3735928559,0.498,255,0
514384627,514384141,511,3735928559,0.486,255,0
515385643,515385100,512,3735928559,0.543,255,0
516382272,516381698,513,3735928559,0.574,255,0
517381745,517381370,514,3735928559,0.375,255,0
518381108,518380706,515,3735928559,0.402,255,0
519382995,519382591,516,3735928559,0.404,255,0
520382292,520381491,517,3735928559,0.801,255,0
521381111,521380767,518,3735928559,0.344,255,0
522382612,522382244,519,3735928559,0.368,255,0
523381399,523380874,520,3735928559,0.525,255,0
524384059,524383513,521,3735928559,0.546,255,0
525383823,525383315,522,3735928559,0.508,255,0
526383775,526383419,523,3735928559,0.356,255,0
527382574,527382214,524,3735928559,0.36,255,0
528384097,528383751,525,3735928559,0.346,255,0
529382160,529381701,526,3735928559,0.459,255,0
530383335,530381709,527,3735928559,1.626,255,0
531383829,531383356,528,3735928559,0.473,255,0
532383207,532382783,529,3735928559,0.424,255,0
533385368,533384922,530,3735928559,0.446,255,0
534381734,534381003,531,3735928559,0.731,255,0
535384265,535383854,532,3735928559,0.411,255,0
536382470,536381871,533,3735928559,0.599,255,0
537384195,537383755,534,3735928559,0.44,255,0
538382999,538382459,535,3735928559,0.54,255,0
539382201,539381638,536,3735928559,0.563,255,0
540382720,540382227,537,3735928559,0.493,255,0
541384152,541382587,538,3735928559,1.565,255,0
542384920,542384557,539,3735928559,0.363,255,0
543382156,543381644,540,3735928559,0.512,255,0
544381742,544380963,541,3735928559,0.779,255,0
545382403,545381828,542,3735928559,0.575,255,0
546381784,546381478,543,3735928559,0.306,255,0
547381787,547381415,544,3735928559,0.372,255,0
548381748,548381340,545,3735928559,0.408,255,0
549381432,549380879,546,3735928559,0.553,255,0
550383295,550383015,547,3735928559,0.28,255,0
551383675,551383158,548,3735928559,0.517,255,0
552381459,552381059,549,3735928559,0.4,255,0
553384114,553383794,550,3735928559,0.32,255,0
554382653,554382336,551,3735928559,0.317,255,0
555382210,555381662,552,3735928559,0.548,255,0
556382196,556381816,553,3735928559,0.38,255,0
557383899,557383230,554,3735928559,0.669,255,0
558384053,558383392,555,3735928559,0.661,255,0
559381648,559381135,556,3735928559,0.513,255,0
560382747,560382348,557,3735928559,0.399,255,0
561383159,561382711,558,3735928559,0.448,255,0
562383472,562382958,559,3735928559,0.514,255,0
563383285,563382752,560,3735928559,0.533,255,0
564381387,564380848,561,3735928559,0.539,255,0
565382553,565381929,562,3735928559,0.624,255,0
566384694,566384198,563,3735928559,0.496,255,0
567384638,567384150,564,3735928559,0.488,255,0
568382638,568382131,565,3735928559,0.507,255,0
569384874,569384263,566,3735928559,0.611,255,0
570381493,570380891,567,3735928559,0.602,255,0
571383953,571383438,568,3735928559,0.515,255,0
572383744,572381627,569,3735928559,2.117,255,0
573381153,573380715,570,3735928559,0.438,255,0
574384550,574381677,571,3735928559,2.873,255,0
575386175,575385750,572,3735928559,0.425,255,0
576384203,576383847,573,3735928559,0.356,255,0
577381139,577380795,574,3735928559,0.344,255,0
578387196,578386673,575,3735928559,0.523,255,0
579384286,579383889,576,3735928559,0.397,255,0
580383849,580383414,577,3735928559,0.435,255,0
581382999,581382573,578,3735928559,0.426,255,0
582383967,582381629,579,3735928559,2.338,255,0
583384073,583383535,580,3735928559,0.538,255,0
584383770,584383296,581,3735928559,0.474,255,0
585382253,585381706,582,3735928559,0.547,255,0
586381506,586380707,583,3735928559,0.799,255,0
587384062,587383509,584,3735928559,0.553,255,0
588382490,588382137,585,3735928559,0.353,255,0
589384282,589383751,586,3735928559,0.531,255,0
590383390,590383021,587,3735928559,0.369,255,0
591385684,591385103,588,3735928559,0.581,255,0
592383415,592383052,589,3735928559,0.363,255,0
593383795,593383282,590,3735928559,0.513,255,0
594382606,594381949,591,3735928559,0.657,255,0
595381416,595380897,592,3735928559,0.519,255,0
596383230,596382933,593,3735928559,0.297,255,0
597382730,597382244,594,3735928559,0.486,255,0
598385765,598385157,595,3735928559,0.608,255,0
599382603,599382119,596,3735928559,0.484,255,0
600384758,600384101,597,3735928559,0.657,255,0
601385430,601385015,598,3735928559,0.415,255,0
602384226,602383807,599,3735928559,0.419,255,0
603383014,603382607,600,3735928559,0.407,255,0
604385724,604383544,601,3735928559,2.18,255,0
605384633,605384177,602,3735928559,0.456,255,0
