timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
219477948,inf,1,0,0,0
220498348,inf,1,0,0,0
221513487,inf,1,0,0,0
222519489,inf,1,0,0,0
223535079,inf,1,0,0,0
224550534,inf,1,0,0,0
225552096,inf,1,0,0,0
226568551,inf,1,0,0,0
227585420,inf,1,0,0,0
228600580,inf,1,0,0,0
229618259,inf,1,0,0,0
230632563,inf,1,0,0,0
231647870,inf,1,0,0,0
232647908,inf,1,0,0,0
233664542,inf,1,0,0,0
234682237,inf,1,0,0,0
235700626,inf,1,0,0,0
236715376,inf,1,0,0,0
237726253,inf,1,0,0,0
238734245,inf,1,0,0,0
239743948,inf,1,0,0,0
240760527,inf,1,0,0,0
241770470,inf,1,0,0,0
242788589,inf,1,0,0,0
243801571,inf,1,0,0,0
244818351,inf,1,0,0,0
245831536,inf,1,0,0,0
246850481,inf,1,0,0,0
247866543,inf,1,0,0,0
248883469,inf,1,0,0,0
249883480,inf,1,0,0,0
250901689,inf,1,0,0,0
251910144,inf,1,0,0,0
252919483,inf,1,0,0,0
253929524,inf,1,0,0,0
254950535,inf,1,0,0,0
255964588,inf,1,0,0,0
256964614,inf,1,0,0,0
257979439,inf,1,0,0,0
258993548,inf,1,0,0,0
259994483,inf,1,0,0,0
261003482,inf,1,0,0,0
262019470,inf,1,0,0,0
263034491,inf,1,0,0,0
264048556,inf,1,0,0,0
265065470,inf,1,0,0,0
266083113,inf,1,0,0,0
267100876,inf,1,0,0,0
268119147,inf,1,0,0,0
269130479,inf,1,0,0,0
270147477,inf,1,0,0,0
271165376,inf,1,0,0,0
272180503,inf,1,0,0,0
273195528,inf,1,0,0,0
274213470,inf,1,0,0,0
275227494,inf,1,0,0,0
276238315,inf,1,0,0,0
277245471,inf,1,0,0,0
278261737,inf,1,0,0,0
279281514,inf,1,0,0,0
280298482,inf,1,0,0,0
281309878,inf,1,0,0,0
282317483,inf,1,0,0,0
283336571,inf,1,0,0,0
284343511,inf,1,0,0,0
285362538,inf,1,0,0,0
286377481,inf,1,0,0,0
287394269,inf,1,0,0,0
288407534,inf,1,0,0,0
289424637,inf,1,0,0,0
290428534,inf,1,0,0,0
291441544,inf,1,0,0,0
292457470,inf,1,0,0,0
293472593,inf,1,0,0,0
294484576,inf,1,0,0,0
295502525,inf,1,0,0,0
296516567,inf,1,0,0,0
297535522,inf,1,0,0,0
298548787,inf,1,0,0,0
299561510,inf,1,0,0,0
300572593,inf,1,0,0,0
301590404,inf,1,0,0,0
302605699,inf,1,0,0,0
303619470,inf,1,0,0,0
304639030,inf,1,0,0,0
305650491,inf,1,0,0,0
306668634,inf,1,0,0,0
307671358,inf,1,0,0,0
308688732,inf,1,0,0,0
309710449,inf,1,0,0,0
310726480,inf,1,0,0,0
311742479,inf,1,0,0,0
312760761,inf,1,0,0,0
313776573,inf,1,0,0,0
314791530,inf,1,0,0,0
315803528,inf,1,0,0,0
316817479,inf,1,0,0,0
