timestamp,load,ram_usage
544201768,0.581976,0.871722
545203106,0.580132,0.873958
546204127,0.579114,0.872264
547205011,0.574555,0.872332
548205435,0.578026,0.871722
549208134,0.596029,0.873958
550211010,0.573247,0.872264
551211875,0.57986,0.872332
552212866,0.568468,0.871722
553214384,0.59106,0.873958
554218564,0.582591,0.872264
555220813,0.57354,0.872332
556221727,0.579811,0.871722
557222435,0.595088,0.873958
558224017,0.579204,0.872264
559224805,0.564769,0.872332
560225795,0.5862,0.871722
561227471,0.590251,0.873958
562228492,0.582642,0.872264
563231422,0.578278,0.872332
564232657,0.579535,0.871722
565234671,0.583401,0.873958
566236606,0.570019,0.872264
567237435,0.580628,0.872332
568238645,0.581159,0.871722
569240515,0.596803,0.873958
570241556,0.579882,0.872264
571243284,0.572715,0.872332
572245803,0.568729,0.871722
573246655,0.59209,0.873958
574251315,0.582576,0.872264
575253766,0.58658,0.872332
576256062,0.588244,0.871722
577256737,0.597077,0.873958
578256498,0.579517,0.872264
579258416,0.572655,0.872332
580261469,0.581133,0.871722
581262736,0.596555,0.873958
582263808,0.584188,0.872264
583264745,0.579307,0.872332
584265435,0.580174,0.871722
585265908,0.593475,0.873958
586266517,0.566465,0.872264
587272013,0.576043,0.872332
588272905,0.581391,0.871722
589274561,0.592015,0.873958
590275435,0.581358,0.872264
591276608,0.575722,0.872332
592279811,0.577012,0.871722
593281412,0.583936,0.873958
594282562,0.57747,0.872264
595284540,0.570348,0.872332
596287994,0.576599,0.871722
597289134,0.598043,0.873958
598291318,0.574428,0.872264
599293640,0.567875,0.872332
600295149,0.582079,0.872332
601295531,0.598521,0.873958
602298281,0.59169,0.872264
603299435,0.574248,0.872332
604302127,0.580455,0.871722
605304860,0.600258,0.873958
606305471,0.578011,0.872264
607306571,0.579482,0.872332
608307890,0.573717,0.872332
609308495,0.598278,0.873958
610309627,0.576584,0.872264
611313590,0.577496,0.872332
612314944,0.568919,0.872332
613315539,0.581048,0.873958
614316523,0.580978,0.872264
615317721,0.574614,0.872332
616318539,0.580621,0.872332
617319435,0.594261,0.873958
618324787,0.585428,0.872264
619325466,0.574142,0.872332
620328013,0.571261,0.872332
621328704,0.593605,0.873958
622329435,0.583512,0.872264
623331928,0.575372,0.872332
624334408,0.577311,0.872332
625335435,0.585225,0.873958
626336657,0.577086,0.872264
627337446,0.580294,0.872332
628338435,0.571969,0.872332
629339471,0.591158,0.873958
630340561,0.579317,0.872264
631341435,0.57404,0.872332
632343835,0.579572,0.872332
633344554,0.579926,0.873958
634347197,0.581504,0.872264
635351049,0.576542,0.872332
636351923,0.575519,0.872332
637352774,0.588184,0.873958
638352992,0.579675,0.872264
639355440,0.572274,0.872332
640357438,0.569632,0.872332
641358749,0.59561,0.873958
642361392,0.580628,0.872264
643362693,0.577414,0.872332
644363930,0.57246,0.872332
645366309,0.596141,0.873958
646368733,0.569586,0.872264
647369851,0.576011,0.872332
648374672,0.578865,0.872332
649375435,0.592843,0.873958
650377719,0.583709,0.872264
651380772,0.583255,0.872264
652383178,0.571133,0.872332
653385552,0.585692,0.873958
654386539,0.585335,0.872264
655388780,0.587888,0.872332
656390714,0.579982,0.872332
657391471,0.601778,0.873958
658394435,0.581552,0.872264
659395435,0.569898,0.872264
660396688,0.573263,0.872332
661397447,0.600438,0.873958
662399759,0.576821,0.873958
663400586,0.572785,0.872264
664401505,0.575911,0.872332
665403233,0.586532,0.873958
666404651,0.574651,0.873958
667405852,0.570846,0.872264
668408714,0.589189,0.872332
669410521,0.582828,0.873958
670413361,0.582441,0.873958
671415904,0.579271,0.872264
672417931,0.576721,0.872332
673419875,0.589508,0.873958
674422112,0.575603,0.872264
675424887,0.576748,0.872264
676427381,0.572705,0.872332
677428813,0.589392,0.873958
678429472,0.586085,0.873958
679430487,0.587153,0.872264
680431435,0.576398,0.872332
681433891,0.589803,0.873958
682437855,0.589729,0.873958
683438435,0.580357,0.872264
684439471,0.576769,0.872332
685441435,0.577389,0.873958
686442435,0.586833,0.873958
687445718,0.567354,0.872264
688447235,0.586353,0.872332
689450328,0.583992,0.873958
690452793,0.594084,0.873958
691454386,0.578068,0.872264
692457035,0.578277,0.872332
693457435,0.575757,0.873958
694458435,0.58438,0.873958
695459435,0.583924,0.872264
696460821,0.577777,0.872332
697461435,0.583704,0.873958
698462570,0.59268,0.873958
699463435,0.580086,0.872264
700465351,0.567708,0.872332
701467557,0.57706,0.873958
702469542,0.668133,0.873958
703470435,0.572594,0.872264
704471772,0.569257,0.872332
705472492,0.572749,0.871722
706475337,0.58592,0.873958
707477082,0.562574,0.872264
708479489,0.571165,0.872332
709481353,0.577866,0.871722
710482683,0.594957,0.873958
711485528,0.580599,0.872264
712487193,0.577195,0.872332
713488211,0.582229,0.871722
714489464,0.579694,0.873958
715492919,0.578822,0.872264
716495762,0.578532,0.872332
717496806,0.575728,0.871722
718528922,0.657518,0.873958
719532898,0.579196,0.872264
720533935,0.579272,0.872332
721535928,0.568748,0.871722
722536785,0.594921,0.873958
